Sample,Date,Week ,Month,LATITUDE_Y,LONGITUDE_X,Site,City,Microcystin,TDFe,pH,DOC,TKP,TKN,NH3,Nox,NO2,Cl,SO4,16S,Microcystis_mcyA,Anabaena_mcyA,Planktothrix_mcyA
3-21620001,6/5/2018,3,June,41.29514,-92.53733,Lake_Keomah_Beach,OSKALOOSA,0.042,11.7,8.67,7.272,1.845,0.201,,0.067,0.0252,27.141,28.863,1.41E+07,2.39E+04,0.00E+00,0.00E+00
3-21520001,6/5/2018,3,June,41.7935,-91.57311,Lake_Macbride_Beach,SOLON,1.848,14.8,8.76,6.075,1.334,0.317,0.012,0.165,0.0214,34.062,12.285,1.35E+06,3.01E+04,0.00E+00,0.00E+00
3-21780001,6/5/2018,3,June,41.20518,-95.85738,Lake_Manawa_Beach,COUNCIL BLUFFS,0.361,16.6,7.3,4.078,1.275,0.35,0.05,0.135,0.0093,31.434,28.014,2.66E+06,4.39E+03,0.00E+00,0.00E+00
3-21870001,6/5/2018,3,June,40.70991,-94.68961,Lake_of_Three_Fires_Beach,BEDFORD,4.237,13.7,8.4,10.38,1.223,0.378,0.026,0.724,0.081,7.336,9.886,1.72E+06,5.20E+04,0.00E+00,0.00E+00
3-21260001,6/5/2018,3,June,40.81961,-92.57458,Lake_Wapello,DRAKESVILLE,0.465,8.54,8.18,25.4,1.747,0.112,,0.012,0.0191,3.453,8.447,4.28E+06,3.58E+02,0.00E+00,0.00E+00
3-21670001,6/5/2018,3,June,42.29637,-95.02906,Lewis_and_Clark,ONAWA,0.517,14.8,7.84,7.646,1.286,0.347,0.077,0.016,0.0081,9.946,44.151,5.14E+06,6.93E+02,0.00E+00,0.00E+00
3-21420001,6/5/2018,3,June,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.026,15.4,8.1,3.314,1.825,0.138,,3.775,0.1107,15.466,8.856,4.28E+06,1.30E+03,0.00E+00,0.00E+00
3-21170002,6/5/2018,3,June,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,1.721,13,8,7.493,1.817,0.155,,0.079,0.025,14.345,10.222,3.81E+06,1.29E+05,0.00E+00,0.00E+00
3-21270001,6/5/2018,3,June,40.59674,-93.7723,Nine_Eagles_Beach,DAVIS CITY,0.181,16.6,8.9,6.608,1.714,0.172,,0.019,0.0184,1.456,3.507,6.52E+06,0.00E+00,0.00E+00,0.00E+00
3-21130002,6/5/2018,3,June,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,0.807,13.8,8.2,7.272,1.331,0.647,0.459,0.116,0.0131,29.203,43.694,1.50E+06,3.74E+03,0.00E+00,0.00E+00
3-21130001,6/5/2018,3,June,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,0.621,14,8.2,7.673,1.334,0.699,0.44,0.111,0.015,29.753,44.142,2.08E+06,5.51E+03,0.00E+00,0.00E+00
3-21300002,6/5/2018,3,June,43.415488,-95.164669,Pikes_Point_Beach,MILFORD,0.209,10.3,8.3,5.321,1.693,0.189,,0.028,0.0187,24.543,14.684,4.64E+06,9.73E+03,0.00E+00,0.00E+00
3-21830001,6/5/2018,3,June,41.60113,-95.22643,Prairie_Rose_Beach,HARLAN,0.184,16.3,8.4,4.679,1.319,0.403,0.009,0.036,0.0028,13.425,7.424,1.71E+06,5.34E+03,0.00E+00,0.00E+00
3-21590001,6/5/2018,3,June,41.00091,-93.272,Red_Haw_Beach,CHARITON,0.384,14.4,8.13,8.362,1.852,0.345,,0.023,0.0193,15.926,6.805,5.79E+06,6.68E+02,0.00E+00,0.00E+00
3-21500001,6/5/2018,3,June,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0,13.4,7.9,4.492,1.814,0.274,,1.723,0.1458,14.992,13.149,8.47E+06,3.02E+03,0.00E+00,0.00E+00
3-21390001,6/5/2018,3,June,41.77603,-94.4667,Springbrook_Beach,GUTHRIE CENTER,0.221,12.9,8.1,2.86,1.302,0.366,0.033,2.875,0.0848,8.413,9.122,1.32E+06,5.79E+02,0.00E+00,0.00E+00
3-21300003,6/5/2018,3,June,42.128721,-92.72652,Triboji_Beach,MILFORD,0.146,10.3,8.3,5.634,1.839,0.154,,0.02,0.0186,24.654,14.974,3.97E+06,1.12E+03,0.00E+00,0.00E+00
3-21860001,6/5/2018,3,June,42.12505,-92.72008,Union_Grove_Beach,GLADBROOK,1.836,11.6,8.34,4.358,1.347,0.378,0.017,1.67,0.0682,14.075,12.026,9.77E+05,7.67E+03,0.00E+00,0.00E+00
3-21690001,6/5/2018,3,June,40.976,-95.02935,Viking_Lake_Beach,STANTON,0.369,10.3,8,7.253,1.24,0.4,0.081,0.039,0.0058,8.562,4.963,1.64E+06,2.49E+03,0.00E+00,0.00E+00
4-21280001,6/12/2018,4,June,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.165,14.5,7.28,2.583,1.217,0.569,0.083,15.872,0.0592,19.018,21.775,4.44E+06,0.00E+00,0.00E+00,0.00E+00
4-21350001,6/12/2018,4,June,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.538,15.9,8,2.619,1.559,0.334,0.402,8.581,0.084,14.674,18.249,1.08E+07,1.80E+04,0.00E+00,0.00E+00
4-21770001,6/12/2018,4,June,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.405,15.8,8.3,3.233,1.148,0.48,-0.018,4.515,0.0884,24.422,14.683,2.65E+06,7.37E+02,0.00E+00,0.00E+00
4-21810002,6/12/2018,4,June,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.75,17.6,8.6,6.073,1.214,0.458,-0.008,0.027,0.0001,24.868,17.982,1.01E+07,4.39E+04,0.00E+00,0.00E+00
4-21940001,6/12/2018,4,June,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.27,16.3,7.9,3.708,1.089,0.484,0.077,9.926,0.0871,21.219,38.866,9.59E+02,0.00E+00,0.00E+00,0.00E+00
4-21170001,6/12/2018,4,June,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,1.768,11.9,8.3,6.011,1.569,0.448,5.09,-0.005,0.0051,14.9,11.838,2.19E+06,3.34E+04,0.00E+00,0.00E+00
4-21300005,6/12/2018,4,June,43.496339,-95.120872,Crandalls_Beach,MILFORD,0.153,14.1,8.3,4.894,1.618,0.334,0.646,0.083,0.0109,19.197,22.158,1.30E+05,5.51E+02,0.00E+00,0.00E+00
4-21810001,6/12/2018,4,June,42.30153,-95.036022,Denison_Beach,LAKE VIEW,2.775,17.9,8.6,6.036,1.142,0.533,-0.01,0.004,0.0051,25.697,21.871,6.13E+06,2.42E+05,0.00E+00,0.00E+00
4-21130004,6/12/2018,4,June,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.242,16,8.3,5.244,1.463,0.313,1.021,-0.009,0.003,25.219,16.597,4.14E+06,1.31E+03,0.00E+00,0.00E+00
4-21880001,6/12/2018,4,June,41.09832,-94.38405,Green_Valley_Beach,CRESTON,N/A,21.5,,,,,,,,,,,,,
4-21300001,6/12/2018,4,June,43.371344,-95.161174,Gull_Point_Beach,MILFORD,1.327,14.2,7.5,9.128,1.2,0.921,0.532,0.04,0.0091,9.289,11.825,8.36E+05,4.14E+03,0.00E+00,0.00E+00
4-21040001,6/12/2018,4,June,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.322,9.49,8.2,4.15,1.387,0.34,0.502,-0.005,0.0038,24.535,17.67,5.29E+06,2.19E+03,0.00E+00,0.00E+00
4-21890001,6/12/2018,4,June,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.207,13.8,8.9,5.119,1.802,0.369,7.306,0.048,0.036,10.869,33.165,2.10E+03,0.00E+00,0.00E+00,0.00E+00
